frame,timestamp_ms,ball_x_px,ball_y_px,ball_conf,ball_x_smooth,ball_y_smooth
27,7171.0,1137.9537353515625,500.0919189453125,0.07190579175949097,1147.8613037109376,478.7266510009766
28,7438.0,1138.462158203125,499.5106201171875,0.1869661957025528,1167.621142578125,436.2733612060547
29,7705.0,1187.482666015625,393.7038116455078,,1187.42900390625,393.3043182373047
30,7972.0,1236.503173828125,287.8970031738281,0.12517426908016205,1205.67890625,349.0131500244141
31,8238.0,1236.7432861328125,285.3182373046875,0.05189640074968338,1222.3191162109374,303.50180969238284
32,8505.0,1229.2032470703125,278.6360778808594,,1221.71796875,277.1826456705729
33,8772.0,1221.6632080078125,271.95391845703125,0.09252910315990448,1203.8754638671876,270.0556579589844
34,9030.0,1184.4769287109375,262.1079915364583,,1178.5476806640625,261.47523803710936
35,9305.0,1147.2906494140625,252.2620646158854,,1145.80546875,252.83653564453124
36,9563.0,1110.1043701171875,242.4161376953125,0.05469885095953941,1112.0444072547325,245.63981107271633
37,9830.0,1065.4921875,235.44256591796875,0.06772259622812271,1083.193744225135,240.5178178210136
38,10095.0,1052.8579005314753,235.97029559795672,,1059.2534796612078,237.47055588942308
39,10364.0,1040.2236135629507,236.49802527794472,,1040.2236135629507,236.49802527794472
40,10629.0,1027.589326594426,237.0257549579327,,1027.589326594426,237.02575495793266
41,10895.0,1014.9550396259015,237.55348463792066,,1014.9550396259016,237.55348463792066
42,11155.0,1002.3207526573768,238.08121431790866,,1002.3207526573767,238.08121431790863
43,11422.0,989.6864656888522,238.60894399789663,,989.6864656888522,238.60894399789663
44,11689.0,977.0521787203276,239.1366736778846,,977.0521787203276,239.13667367788463
45,11955.0,964.4178917518029,239.6644033578726,,964.4178917518029,239.6644033578726
46,12218.0,951.7836047832783,240.19213303786057,,951.7836047832783,240.19213303786054
47,12486.0,939.1493178147537,240.71986271784857,,939.1493178147535,240.71986271784854
48,12754.0,926.5150308462289,241.24759239783654,,926.5150308462289,241.2475923978365
49,13019.0,913.8807438777044,241.7753220778245,,913.8807438777043,241.7753220778245
50,13288.0,901.2464569091796,242.3030517578125,,901.2464569091796,242.3030517578125
51,13555.0,888.612169940655,242.83078143780048,,888.6121699406551,242.83078143780048
52,13821.0,875.9778829721304,243.35851111778845,,875.9778829721303,243.35851111778848
53,14088.000000000002,863.3435960036057,243.88624079777645,,863.3435960036059,243.88624079777645
54,14343.0,850.7093090350811,244.41397047776442,,850.7093090350812,244.41397047776445
55,14611.0,838.0750220665565,244.9417001577524,,838.0750220665565,244.9417001577524
56,14879.0,825.4407350980318,245.4694298377404,,825.4407350980318,245.4694298377404
57,15143.0,812.8064481295072,245.99715951772836,,812.8064481295072,245.99715951772836
58,15405.000000000002,800.1721611609826,246.52488919771633,,800.1721611609826,246.5248891977163
59,15672.0,787.5378741924579,247.05261887770433,,787.5378741924579,247.0526188777043
60,15938.0,774.9035872239333,247.5803485576923,,774.9035872239333,247.58034855769228
61,16205.000000000002,762.2693002554087,248.10807823768027,,762.2693002554087,248.10807823768027
62,16472.0,749.635013286884,248.63580791766827,,749.635013286884,248.63580791766827
63,16735.0,737.0007263183594,249.16353759765624,,737.0007263183594,249.16353759765624
64,17004.0,724.3664393498348,249.69126727764424,,724.3664393498348,249.69126727764424
65,17272.000000000004,711.73215238131,250.2189969576322,,711.73215238131,250.2189969576322
66,17537.0,699.0978654127855,250.74672663762018,,699.0978654127855,250.7467266376202
67,17805.0,686.4635784442607,251.27445631760818,,686.4635784442607,251.27445631760816
68,18072.0,673.8292914757362,251.80218599759615,,673.8292914757362,251.80218599759615
69,18339.0,661.1950045072115,252.32991567758413,,661.1950045072115,252.32991567758413
70,18596.0,648.560717538687,252.85764535757212,,648.560717538687,252.85764535757212
71,18863.0,635.9264305701622,253.3853750375601,,635.9264305701623,253.3853750375601
72,19127.0,623.2921436016377,253.9131047175481,,623.2921436016376,253.9131047175481
73,19389.0,610.6578566331129,254.44083439753607,,610.6578566331129,254.44083439753604
74,19656.0,598.0235696645884,254.96856407752404,,598.0235696645884,254.96856407752404
