frame,cx,cy,diam
782,637.7,216.5,7.1
784,620.0,377.5,9.4
786,631.7,379.9,9.9
788,638.1,252.5,13.4
790,626.0,231.4,9.6
792,611.0,347.7,9.2
794,55.8,355.3,13.0
796,999.4,311.9,14.8
798,513.4,355.3,11.2
800,584.0,204.9,16.5
802,584.0,204.9,16.5
804,606.4,353.7,13.0
806,441.7,199.4,11.0
808,459.6,205.0,12.6
810,647.0,309.6,7.3
812,501.8,279.4,10.0
814,484.8,216.5,13.3
816,472.8,219.5,15.0
818,542.7,379.2,11.0
820,280.6,116.9,14.4
822,402.3,215.3,15.3
824,267.4,115.3,14.3
826,613.1,240.9,8.9
828,230.0,111.7,16.0
830,615.3,212.7,11.4
832,465.7,199.3,8.2
834,560.3,183.8,13.9
836,360.6,191.5,15.3
838,609.0,190.6,7.3
840,931.1,493.6,7.1
842,849.0,456.1,13.0
844,516.9,195.4,10.8
846,375.0,180.7,15.2
848,593.7,278.5,8.3
850,534.4,382.3,10.2
852,475.5,391.1,15.9
854,1168.1,169.8,8.6
856,366.2,365.0,13.0
858,917.3,194.0,16.5
860,814.5,179.5,7.4
862,813.7,218.8,17.7
864,937.1,243.8,9.5
866,971.2,242.3,9.2
868,1142.3,256.1,14.5
870,889.1,174.5,8.2
872,792.8,168.8,7.1
874,792.6,170.2,9.1
876,1048.4,222.3,21.2
878,864.6,167.7,10.8
880,865.9,168.0,8.2
882,866.0,168.0,8.2
884,789.6,170.4,8.5
886,1147.5,262.0,9.2
888,845.5,188.5,9.5
890,536.1,327.4,16.5
892,579.0,328.0,15.2
894,691.7,200.7,19.0
896,690.9,206.7,8.9
898,759.7,324.9,16.2
900,983.5,272.6,11.4
902,692.6,223.1,7.1
904,656.9,205.2,8.9
906,709.9,342.6,11.2
908,640.2,205.3,8.2
910,674.7,355.0,8.0
912,596.4,375.5,11.6
914,914.7,342.8,12.6
916,638.3,258.9,8.5
918,815.1,372.1,12.2
920,778.1,429.4,11.4
922,632.7,379.8,18.9
924,653.3,393.9,12.1
926,711.5,338.0,9.2
928,554.1,260.8,18.6
930,838.5,365.1,13.2
932,622.0,222.4,8.2
934,677.0,208.6,9.0
936,810.1,354.0,13.2
938,780.5,162.9,12.7
940,907.6,182.5,9.2
942,305.4,247.4,13.9
944,578.0,296.6,8.5
946,694.2,387.8,13.9
948,630.0,379.3,11.4
950,866.0,429.3,11.8
952,809.5,275.8,7.1
954,375.8,209.9,13.3
956,390.0,233.5,13.9
958,431.2,245.2,12.2
960,484.5,258.7,9.8
962,889.1,282.7,16.0
964,901.7,288.3,10.8
966,390.4,246.9,17.7
968,403.4,248.2,17.2
970,559.5,262.1,14.8
972,426.0,265.8,16.0
974,696.8,222.1,9.5
976,531.2,329.4,10.8
978,403.9,394.4,10.4
980,522.3,293.4,9.8
982,389.7,303.0,8.2
984,729.3,274.4,11.2
986,363.4,265.5,13.5
988,516.2,286.6,13.3
990,516.4,284.1,9.9
992,454.8,298.9,19.1
994,273.5,340.0,9.2
996,516.2,263.2,15.7
998,463.9,265.0,14.3
1000,407.2,250.9,10.8
1002,839.3,247.4,14.4
1004,278.2,180.0,9.8
1006,722.3,347.8,7.6
1008,589.7,357.6,7.1
1010,976.1,140.9,20.8
1012,888.6,153.5,10.8
1014,743.7,159.3,14.9
1016,655.8,186.0,7.3
1018,1059.8,295.5,9.0
1020,777.2,349.0,8.2
1022,748.0,377.5,10.4
1024,484.9,257.4,13.2
1026,721.3,153.8,7.8
1028,735.8,425.2,13.4
1030,753.7,361.1,16.4
1032,738.1,348.5,14.9
1034,594.9,243.8,10.8
1036,653.0,246.2,10.2
1038,621.6,221.5,8.6
1040,639.5,258.0,18.0
1042,564.6,205.7,11.7
1044,1005.0,311.4,15.5
1046,844.0,127.6,9.4
1048,846.2,129.8,9.0
1050,650.2,264.4,8.5
1052,672.3,340.7,17.2
1054,650.2,264.4,8.5
1056,720.6,355.0,17.3
1058,948.0,323.3,12.4
1060,692.3,371.6,14.3
1062,661.5,376.1,23.4
1064,680.1,429.0,17.5
1066,630.7,379.1,12.4
1068,633.9,380.3,16.7
1070,635.1,379.8,16.9
1072,516.6,385.4,21.4
1074,639.1,373.1,13.6
1076,544.0,371.8,18.3
1078,649.5,258.9,7.1
1080,710.0,370.2,20.6
1082,591.5,362.3,18.4
1084,614.1,362.2,15.5
1086,625.7,387.2,8.0
1088,603.5,373.9,10.2
1090,695.0,376.2,14.4
1092,567.5,361.4,8.2
1094,964.8,275.3,16.5
1096,750.6,365.9,15.8
1098,1085.3,272.0,15.2
1100,1209.0,264.5,10.4
1102,552.0,490.7,7.6
1104,602.8,510.1,8.2
1106,571.5,526.5,14.4
1108,672.8,400.3,14.5
1110,507.9,508.8,9.8
1112,1071.6,202.0,11.7
1114,1086.4,231.4,9.5
1116,933.8,268.5,13.8
1118,791.4,242.2,13.4
1120,952.0,389.3,16.3
1122,1137.6,378.2,10.1
1124,584.6,264.3,7.1
1126,666.3,256.7,18.1
1128,692.2,251.9,13.3
1130,724.4,246.8,14.6
1132,776.8,247.4,15.2
1134,769.7,244.1,12.6
1136,493.7,328.1,14.1
1138,528.7,324.6,15.0
1140,551.1,321.3,13.9
1142,852.0,227.6,9.8
1144,1229.0,297.5,14.9
1146,1108.4,223.4,15.1
1148,539.2,454.7,8.3
1150,660.4,425.3,9.5
1152,524.2,359.8,8.9
1154,615.5,450.7,17.7
1156,1097.9,264.3,15.3
1158,1085.5,264.7,12.6
1160,1080.2,264.8,13.3
1162,1086.9,267.1,18.4
1166,1089.0,266.0,14.4
1168,1089.6,266.5,14.5
1170,1091.3,266.6,11.2
1172,1272.5,351.9,19.0
1174,689.4,436.2,7.6
1176,685.4,440.2,7.6
1178,1248.1,239.5,8.4
1180,448.9,429.2,10.8
1182,1141.9,229.6,13.9
1184,910.5,220.7,11.2
1186,892.0,225.1,8.2
1188,866.5,216.5,10.8
1190,490.7,398.1,11.1
1192,622.2,375.1,10.3
1194,623.0,342.8,7.6
1196,718.6,424.1,7.6
1198,618.7,437.5,15.3
1200,6.2,244.4,12.2
1204,1223.2,243.5,7.1
1248,1014.3,323.3,7.6
1262,974.2,333.7,17.9
1264,717.0,424.6,9.5
1266,976.4,400.6,7.6
1268,537.2,457.0,9.2
1270,473.6,443.1,8.1
1272,579.4,373.3,7.3
1274,1091.7,300.4,11.2
1276,750.5,256.6,16.8
1278,692.6,269.3,13.9
1280,598.5,326.5,9.2
1282,585.9,332.7,15.4
1284,902.3,119.5,14.3
1286,899.6,121.2,13.4
1288,695.8,282.5,18.4
1290,672.5,250.0,9.2
1292,730.7,322.6,12.4
1294,629.5,280.7,17.1
1296,646.1,279.6,15.2
1298,892.7,121.8,12.6
1300,885.7,122.8,14.8
1302,754.0,266.0,18.7
1304,876.6,116.5,12.4
1306,878.2,113.7,13.3
1308,667.3,243.2,10.8
1310,669.4,314.0,8.6
1312,910.7,418.0,12.5
1314,670.5,381.5,13.0
1316,595.4,359.0,8.1
1318,743.6,152.3,15.3
1320,738.6,152.2,13.6
1322,734.3,151.1,13.9
1324,734.0,146.5,13.0
1326,736.2,140.7,11.4
1328,742.8,133.3,10.3
1330,580.7,217.4,10.5
1332,607.7,213.3,8.2
1334,645.5,298.6,14.8
1336,975.0,317.3,11.2
1338,643.2,306.8,12.6
1340,581.9,218.1,13.0
1342,579.0,330.0,8.2
1344,923.6,302.1,14.7
1346,724.8,394.4,15.3
1348,741.3,379.4,16.6
1350,695.3,307.8,7.1
1352,596.2,268.4,14.4
1354,730.6,147.2,10.1
1356,759.1,153.2,14.9
1358,809.0,146.0,15.8
1360,881.5,133.2,12.7
1362,787.0,223.9,8.1
1364,731.2,313.0,8.5
1366,301.7,439.5,9.0
1368,611.4,513.9,12.6
1370,696.7,509.0,14.2
1372,453.2,246.4,15.4
1374,994.3,506.7,14.4
1376,570.1,261.1,12.0
1378,567.5,230.7,9.2
1380,469.9,276.4,13.0
1382,619.4,238.0,15.6
1384,611.5,260.9,12.1
1386,373.6,120.1,15.8
1388,708.1,245.9,18.4
1390,715.3,249.8,16.6
1392,451.1,311.7,13.0
1394,404.9,265.9,17.5
1396,717.5,445.1,16.4
1398,392.8,132.2,18.4
1400,378.4,129.9,15.9
1402,362.2,129.7,15.6
1404,350.7,130.0,14.8
1406,519.9,426.2,13.3
1408,546.4,293.4,11.7
1410,522.6,295.0,17.0
1412,378.6,134.2,14.3
1414,654.9,371.2,10.5
1416,580.0,359.5,9.0
1418,580.0,359.5,9.0
1420,615.2,365.6,10.4
1422,616.0,365.4,8.7
1424,580.0,359.5,9.0
1426,600.8,373.0,11.2
1428,616.1,364.6,8.2
1430,434.2,402.3,13.2
1432,455.4,148.1,13.9
1434,455.4,148.1,13.9
1436,455.4,148.1,13.9
1438,455.4,148.1,13.9
1440,454.6,148.2,14.1
1442,452.2,146.7,10.2
1444,450.2,146.5,11.0
1446,559.9,319.9,14.9
1448,558.2,318.9,15.2
1450,603.6,307.9,16.6
1452,603.4,307.9,15.2
1454,580.0,360.0,8.2
1456,580.0,360.0,8.2
1458,453.8,147.2,10.8
1460,456.4,148.4,11.7
1462,456.1,147.1,9.0
1464,534.3,129.1,13.3
1466,454.7,146.3,10.4
1468,453.8,146.0,8.2
1470,453.5,146.2,10.3
1472,456.2,147.4,13.0
1474,457.7,147.4,15.4
1476,459.1,147.7,14.5
1478,459.8,147.6,14.9
1480,459.8,147.6,14.9
1482,458.1,148.3,15.3
1484,458.5,148.0,16.4
1486,459.1,147.7,14.0
1488,517.9,535.6,10.4
1490,691.3,366.6,13.7
1492,694.6,381.3,9.2
1494,477.8,408.6,13.5
1496,476.1,404.7,16.7
1498,696.8,380.5,10.3
1500,770.0,394.8,15.1
1502,536.3,349.6,15.5
1504,769.2,392.2,10.0
1506,534.0,351.1,13.0
1508,787.6,395.9,10.0
1510,765.0,388.0,11.2
1512,449.6,150.5,7.0
1514,450.0,147.6,13.9
1516,449.4,145.2,11.0
1518,448.6,144.6,11.4
1520,692.5,374.5,9.0
1522,448.1,146.8,11.7
1524,446.4,147.2,12.6
1526,443.2,146.1,13.6
1528,439.3,145.9,14.8
1530,652.2,113.6,8.6
1532,659.3,547.1,7.8
1534,433.2,144.5,16.6
1536,973.3,290.3,7.6
1538,646.7,481.9,10.8
1540,424.3,142.3,7.4
1542,758.0,378.5,14.0
1544,392.0,135.8,8.2
1546,552.1,342.7,11.8
1548,682.2,249.4,15.0
1550,658.4,245.7,15.4
1552,608.3,238.8,10.3
1554,590.5,231.0,17.5
1556,561.1,222.1,13.0
1558,552.9,210.5,10.4
1560,560.0,206.0,13.6
1562,591.5,204.4,10.0
1564,529.3,393.7,10.8
1566,442.7,257.5,11.4
1568,412.0,397.0,8.2
1570,557.2,229.1,18.3
1572,569.5,225.4,11.0
1574,356.8,317.0,12.2
1576,685.4,223.8,7.1
1578,712.5,218.3,25.7
1580,727.6,344.9,12.0
1582,438.3,30.2,13.4
1584,539.6,306.2,17.3
1586,468.6,415.1,7.3
1588,351.4,294.5,7.3
1590,497.8,258.6,15.4
1592,331.8,308.9,12.6
1594,321.1,247.2,14.7
1596,315.9,199.0,15.6
1598,330.1,171.3,13.9
1600,760.1,310.2,15.6
1602,490.7,411.1,11.8
1604,1014.0,203.5,16.5
1606,884.3,186.4,18.0
1608,873.6,254.1,16.3
1610,904.8,120.8,15.0
1612,873.1,129.5,12.1
1614,867.2,129.8,11.5
1616,658.0,250.4,8.2
1618,731.8,304.0,8.2
1620,649.0,568.1,16.7
1622,694.6,279.1,15.0
1624,919.1,432.3,17.7
1626,657.1,266.1,13.5
