frame,timestamp_ms,ball_x_px,ball_y_px,ball_conf,ball_x_smooth,ball_y_smooth
47,12486.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
48,12754.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
49,13019.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
50,13288.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
51,13555.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
52,13821.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
53,14088.000000000002,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
54,14343.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
55,14611.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
56,14879.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
57,15143.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
58,15405.000000000002,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
59,15672.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
60,15938.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
61,16205.000000000002,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
62,16472.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
63,16735.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
64,17004.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
65,17272.000000000004,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
66,17537.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
67,17805.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
68,18072.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
69,18339.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
70,18596.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
71,18863.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
72,19127.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
73,19389.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
74,19656.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
75,19923.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
76,20190.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
77,20457.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
