frame,x,y,dist_from_hoop_ft,shot_type,track_hits,track_score
52,707.0,337.0,0.5991832308865815,2PT,6,0.525
52,954.246212121212,608.8446969696969,1.2623833384418477,2PT,6,0.6846658296132243
58,818.9031007751937,292.75581395348837,0.7980614600621027,2PT,9,0.68641583349689
54,764.5106918238993,344.82893081761,0.7110648406277982,2PT,10,0.35856298965808875
64,552.6346153846154,431.6923076923077,0.4427289401504068,2PT,12,0.43142786543917133
54,762.9432098765432,687.6938271604938,1.0864496296536863,2PT,6,0.525
56,845.1580952380951,710.1542857142857,1.2249246193458132,2PT,7,0.5587489929453463
58,822.0,313.0,0.8086847320592004,2PT,13,0.6009918621803974
56,805.3898809523808,714.2738095238094,1.1789817582148752,2PT,7,0.6473196704568608
56,1006.1433435478378,289.7681307456588,1.160392634858589,2PT,7,0.5453436292575617
58,888.546783625731,711.8947368421053,1.2869012125960073,2PT,6,0.6951456363978025
58,863.1666666666666,353.50925925925924,0.9014834658700165,2PT,11,0.3518716248146409
58,1109.845804988662,482.08616780045344,1.4301989181959656,2PT,14,0.3669496576495721
58,58.95161290322581,589.3709677419355,0.9433258260634455,2PT,6,0.75
58,652.1384615384616,228.64615384615385,0.47304835294177305,2PT,6,0.6965294520060593
62,1143.1328443357784,238.56968215158923,1.4247963887030604,2PT,6,0.3940650116754322
78,352.5816993464052,349.01960784313724,0.21571371917222304,2PT,13,0.47272173613503415
66,1240.7521367521367,422.3504273504273,1.6469659428823364,2PT,9,0.3835858442972672
68,613.6292974588938,441.71449925261584,0.5381164127973125,2PT,7,0.5655473200029131
72,182.60526315789474,218.0,0.4473318100282271,2PT,40,0.49733498005794236
76,128.5,385.3768361581921,0.6035904958636856,2PT,32,0.555687380632696
74,1110.3003663003662,486.97802197802196,1.4340107001643425,2PT,6,0.75
76,299.8907284768212,267.35099337748346,0.215509851554985,2PT,6,0.525
88,435.0357142857143,369.52777777777777,0.22968141241294526,2PT,27,0.5103591037755808
78,156.91408450704225,705.9521126760563,1.006456414913697,2PT,8,0.6011263988072981
136,33.32380952380952,332.94920634920635,0.7477867664834195,2PT,35,0.5296099427560967
78,378.0,331.0,0.16201680867694018,2PT,6,0.525
78,52.41310541310541,371.3618233618233,0.7312573885531531,2PT,36,0.6631946525611553
78,481.4572158365262,260.06768837803315,0.1393413880553886,2PT,33,0.5166438493636161
116,114.98666666666666,461.6066666666667,0.7009198164720397,2PT,35,0.6386938359248744
130,274.54144620811286,380.2892416225749,0.3598390638656001,2PT,33,0.5515523363177063
80,707.1220238095237,415.04464285714283,0.6566577793460946,2PT,20,0.5567521209451859
84,722.4180327868852,196.4344262295082,0.6172485039883979,2PT,8,0.7307436680464338
80,642.0103092783505,252.28178694158075,0.4508095949404121,2PT,24,0.5071448217593622
80,1061.8251121076232,314.38714499252615,1.2719229871028541,2PT,10,0.4429192670334339
82,918.787610619469,500.4631268436578,1.098457844685438,2PT,6,0.48854239528791754
82,309.5,660.0,0.8126693209248691,2PT,9,0.4904774912106096
82,1006.6102150537633,421.09408602150535,1.2038233256303998,2PT,6,0.43586963366462217
84,135.0,506.0,0.7247409326424871,2PT,7,0.4116481592322644
