frame,cx,cy,diam,dist_from_rim,score,in_rim,rim_cx,rim_cy,rim_r
102,520.5,311.5,8.60252571105957,378.23074967538,0.565621814842454,True,878.0,188.0,390.0
104,519.5,381.5,9.89969539642334,407.38740775826636,0.6159126629532969,False,878.0,188.0,390.0
106,689.0,278.0,13.416607856750488,230.8007798946962,0.6583348417075706,True,874.0,140.0,382.0
108,703.5,280.5,8.60252571105957,220.93098469884208,0.6619810241231471,True,874.0,140.0,382.0
110,711.5,282.5,8.60252571105957,216.13074746550987,0.6696557787299937,True,874.0,140.0,382.0
112,506.5,326.5,11.401954650878906,412.1146685086567,0.6455705332847141,False,874.0,140.0,382.0
114,585.0,305.8636474609375,11.896774291992188,333.21426972602205,0.678143420417137,True,874.0,140.0,382.0
116,629.9444580078125,295.5,10.546954154968262,289.38444598336724,0.6718362038514303,True,874.0,140.0,382.0
118,583.6052551269531,295.97369384765625,12.37142562866211,329.63146242791265,0.7215317561763661,True,874.0,140.0,382.0
120,606.5,274.5,15.811588287353516,299.41025366543477,0.5938605585032651,True,874.0,140.0,382.0
122,578.5,260.5,12.72812271118164,328.929323715597,0.6775201732212562,True,430.0,554.0,378.0
124,405.5,332.0,14.8662691116333,223.3478229130519,0.6760897777355724,True,430.0,554.0,378.0
126,214.0,651.0,10.770529747009277,236.78048906107108,0.6707529946530066,True,430.0,554.0,378.0
128,263.5,694.2142944335938,8.94674301147461,217.67475361996054,0.7160792321072643,True,430.0,554.0,378.0
130,327.5,560.5,5.831151485443115,102.70589077555387,0.6599425086382518,True,430.0,554.0,378.0
132,348.5,489.5,8.60252571105957,103.93507588874894,0.7407249879803737,True,430.0,554.0,378.0
134,168.5,503.5,11.401954650878906,266.3315602777861,0.7101377096088048,True,430.0,554.0,378.0
136,133.5,232.5,14.212870597839355,437.34940265193,0.5068758139159864,False,430.0,554.0,378.0
144,1211.5,139.5,7.615972995758057,552.2123685684702,0.448381375754908,False,954.0,628.0,394.0
148,1212.5,659.5,5.831151485443115,260.41217329456776,0.5820953293352431,True,954.0,628.0,394.0
152,1198.5,276.5,10.295830726623535,428.1734461640516,0.6274239635635805,False,954.0,628.0,394.0
154,864.5,127.5,5.831151485443115,283.74019806858524,0.5649473034374515,True,582.0,154.0,380.0
156,1114.5,280.5,10.295830726623535,547.3193765983441,0.5440962736782129,False,582.0,154.0,380.0
158,1035.5,236.5,12.083246231079102,460.94305505127204,0.6188271689080851,False,582.0,154.0,380.0
160,790.1329345703125,277.8038024902344,11.234012603759766,242.17080741470667,0.747097308819817,True,582.0,154.0,380.0
162,1024.5,251.5,17.029586791992188,453.11422400979643,0.43522121782849477,False,582.0,154.0,380.0
