track_id,frame,cx,cy,conf
164,1404,803.0,397.0,0.245
164,1405,822.0,402.0,0.348
165,1407,357.0,310.0,0.434
165,1408,358.0,305.0,0.795
165,1409,359.0,303.0,0.649
165,1410,366.0,303.0,0.491
165,1411,376.0,303.0,0.697
165,1412,390.0,304.0,0.818
166,1413,490.0,465.0,0.364
166,1414,500.0,458.0,0.672
167,1424,424.0,406.0,0.489
167,1425,423.0,403.0,0.733
167,1426,423.0,402.0,0.571
168,1425,590.0,467.0,0.598
168,1426,589.0,465.0,0.765
169,1432,581.0,466.0,0.442
169,1433,584.0,465.0,0.366
170,1432,425.0,407.0,0.485
170,1433,425.0,411.0,0.417
170,1434,427.0,409.0,0.48
171,1414,411.0,314.0,0.326
171,1416,458.0,309.0,0.355
171,1417,460.0,310.0,0.406
171,1418,465.0,311.0,0.273
171,1419,469.0,310.0,0.818
171,1420,472.0,310.0,0.555
171,1421,472.0,308.0,0.425
171,1422,471.0,307.0,0.537
171,1423,471.0,306.0,0.496
171,1424,471.0,306.0,0.654
171,1425,471.0,306.0,0.687
171,1426,473.0,306.0,0.61
171,1427,477.0,309.0,0.735
171,1428,486.0,313.0,0.846
171,1429,498.0,313.0,0.485
171,1430,506.0,314.0,0.466
171,1431,509.0,315.0,0.604
171,1432,524.0,314.0,0.495
171,1433,529.0,315.0,0.44
171,1434,533.0,317.0,0.764
171,1435,541.0,318.0,0.493
172,1432,997.0,691.0,0.227
172,1433,1004.0,689.0,0.61
172,1434,1010.0,688.0,0.478
172,1435,1012.0,688.0,0.673
173,1436,424.0,406.0,0.628
173,1437,423.0,405.0,0.574
173,1438,424.0,409.0,0.486
173,1439,423.0,413.0,0.477
174,1437,559.0,312.0,0.757
174,1438,563.0,313.0,0.647
174,1439,566.0,315.0,0.818
174,1440,559.0,305.0,0.589
175,1441,1075.0,621.0,0.906
175,1442,1078.0,617.0,0.628
176,1438,588.0,462.0,0.341
176,1439,588.0,463.0,0.507
176,1440,582.0,464.0,0.342
176,1441,585.0,466.0,0.593
176,1442,585.0,464.0,0.47
176,1443,585.0,462.0,0.309
176,1445,581.0,462.0,0.697
176,1446,580.0,464.0,0.499
177,1446,798.0,491.0,0.812
177,1447,801.0,458.0,0.656
177,1448,795.0,495.0,0.816
177,1449,825.0,512.0,0.323
178,1450,793.0,470.0,0.792
178,1451,800.0,450.0,0.809
178,1452,804.0,461.0,0.788
178,1453,796.0,451.0,0.364
178,1454,802.0,463.0,0.702
178,1455,807.0,460.0,0.474
179,1455,828.0,512.0,0.701
179,1456,829.0,512.0,0.604
180,1452,1083.0,600.0,0.667
180,1453,1084.0,599.0,0.737
180,1454,1082.0,597.0,0.621
180,1455,1084.0,597.0,0.643
180,1456,1085.0,598.0,0.663
180,1457,1085.0,598.0,0.746
181,1458,423.0,346.0,0.452
181,1459,424.0,347.0,0.412
182,1459,822.0,498.0,0.346
182,1461,831.0,513.0,0.515
183,1461,1094.0,603.0,0.586
183,1462,1094.0,605.0,0.678
183,1463,1093.0,606.0,0.661
183,1464,1094.0,609.0,0.687
184,1462,423.0,400.0,0.63
184,1463,423.0,402.0,0.654
184,1464,423.0,404.0,0.698
184,1465,422.0,401.0,0.483
184,1466,421.0,402.0,0.354
185,1466,1091.0,609.0,0.661
185,1467,1092.0,609.0,0.744
185,1468,1093.0,608.0,0.735
185,1469,1093.0,608.0,0.482
186,1472,1147.0,527.0,0.72
186,1473,1146.0,515.0,0.559
187,1473,890.0,371.0,0.52
187,1474,890.0,369.0,0.239
188,1473,1274.0,324.0,0.332
188,1474,1274.0,324.0,0.379
188,1475,1275.0,325.0,0.292
189,1475,1108.0,623.0,0.45
189,1476,1108.0,623.0,0.511
189,1477,1107.0,623.0,0.422
190,1492,521.0,304.0,0.293
190,1493,521.0,304.0,0.429
190,1494,521.0,305.0,0.383
190,1495,522.0,304.0,0.548
191,1491,1109.0,625.0,0.544
191,1492,1110.0,625.0,0.54
191,1493,1110.0,625.0,0.487
191,1494,1111.0,622.0,0.44
191,1495,1110.0,619.0,0.662
191,1496,1109.0,618.0,0.529
191,1497,1111.0,615.0,0.567
191,1498,1113.0,617.0,0.332
192,1481,1274.0,325.0,0.244
192,1482,1274.0,324.0,0.416
192,1483,1274.0,325.0,0.37
192,1484,1274.0,325.0,0.336
192,1485,1274.0,325.0,0.351
192,1486,1274.0,325.0,0.375
192,1487,1274.0,325.0,0.319
192,1488,1274.0,325.0,0.312
192,1489,1274.0,325.0,0.312
192,1490,1274.0,325.0,0.327
192,1491,1274.0,325.0,0.311
192,1492,1274.0,325.0,0.35
192,1493,1274.0,325.0,0.368
192,1494,1274.0,325.0,0.319
192,1495,1274.0,325.0,0.323
192,1496,1274.0,325.0,0.332
192,1497,1274.0,325.0,0.366
192,1498,1274.0,324.0,0.496
192,1499,1274.0,324.0,0.47
192,1500,1274.0,323.0,0.475
192,1501,1274.0,324.0,0.297
193,1499,539.0,369.0,0.256
193,1500,533.0,352.0,0.584
193,1501,534.0,351.0,0.513
193,1502,534.0,351.0,0.734
193,1503,530.0,353.0,0.591
193,1504,525.0,355.0,0.837
193,1505,525.0,355.0,0.758
193,1506,534.0,353.0,0.576
193,1507,537.0,352.0,0.608
193,1511,662.0,435.0,0.909
194,1512,867.0,432.0,0.256
194,1517,782.0,376.0,0.58
195,1512,767.0,460.0,0.555
195,1517,788.0,491.0,0.553
195,1518,791.0,475.0,0.892
195,1519,797.0,451.0,0.917
196,1521,807.0,454.0,0.659
196,1522,783.0,458.0,0.422
197,1523,1092.0,608.0,0.455
197,1524,1093.0,610.0,0.265
197,1525,1090.0,612.0,0.513
197,1526,1092.0,612.0,0.494
197,1527,1093.0,608.0,0.373
197,1528,1094.0,607.0,0.294
198,1526,803.0,452.0,0.821
198,1527,802.0,452.0,0.442
198,1528,789.0,466.0,0.453
199,1529,663.0,381.0,0.297
199,1531,698.0,401.0,0.552
200,1534,1273.0,329.0,0.293
200,1535,1274.0,329.0,0.243
201,1539,1005.0,508.0,0.327
201,1540,1004.0,507.0,0.329
202,1548,860.0,355.0,0.513
202,1550,902.0,297.0,0.508
202,1553,859.0,389.0,0.573
203,1555,863.0,491.0,0.526
203,1556,876.0,475.0,0.411
204,1556,883.0,499.0,0.514
204,1557,914.0,519.0,0.246
205,1564,369.0,477.0,0.669
205,1565,393.0,462.0,0.466
206,1566,309.0,417.0,0.293
206,1567,315.0,448.0,0.508
207,1567,195.0,401.0,0.683
207,1568,177.0,380.0,0.476
208,1569,226.0,422.0,0.56
208,1570,225.0,421.0,0.534
209,1587,378.0,302.0,0.392
209,1588,389.0,283.0,0.34
209,1593,271.0,415.0,0.855
209,1594,295.0,438.0,0.285
210,1607,968.0,347.0,0.555
210,1611,1011.0,320.0,0.649
211,1633,616.0,240.0,0.506
211,1635,645.0,243.0,0.251
211,1637,709.0,272.0,0.733
212,1638,663.0,334.0,0.434
212,1639,678.0,326.0,0.308
213,1641,817.0,351.0,0.407
213,1644,834.0,324.0,0.489
213,1647,766.0,341.0,0.478
213,1648,770.0,364.0,0.294
214,1654,748.0,395.0,0.833
214,1655,750.0,403.0,0.764
215,1658,315.0,321.0,0.428
215,1660,363.0,284.0,0.279
