frame,x1,y1,x2,y2,conf
201,707.04,441.87,719.93,468.62,0.69
202,700.74,446.99,713.36,473.51,0.688
203,694.43,452.1,706.78,478.4,0.687
204,688.13,457.21,700.21,483.29,0.685
205,681.83,462.33,693.64,488.18,0.684
206,675.53,467.44,687.07,493.07,0.682
207,692.53,467.28,704.76,493.5,0.701
208,709.52,467.13,722.46,493.93,0.72
209,726.51,466.97,740.15,494.36,0.739
210,743.51,466.81,757.85,494.79,0.757
211,760.5,466.65,775.55,495.22,0.776
212,777.49,466.49,793.24,495.65,0.795
213,794.49,466.33,810.94,496.08,0.813
214,811.48,466.18,828.63,496.51,0.832
215,828.47,466.02,846.33,496.94,0.851
216,845.47,465.86,864.03,497.36,0.87
217,846.35,441.43,865.96,474.27,0.778
218,847.23,417.0,867.9,451.17,0.687
219,848.1,392.58,869.84,428.07,0.595
220,871.58,391.02,892.95,425.83,0.6
221,895.05,389.47,916.05,423.59,0.606
222,918.52,387.92,939.15,421.35,0.611
223,941.99,386.36,962.25,419.11,0.616
224,965.46,384.81,985.36,416.87,0.622
225,988.93,383.26,1008.46,414.63,0.627
226,1012.4,381.71,1031.56,412.39,0.632
227,1035.87,380.15,1054.67,410.15,0.637
228,1059.34,378.6,1077.77,407.91,0.643
229,1082.81,377.05,1100.87,405.66,0.648
230,1106.28,375.49,1123.98,403.42,0.653
231,1129.75,373.94,1147.08,401.18,0.659
232,1153.22,372.39,1170.18,398.94,0.664
233,1149.66,395.63,1166.95,422.96,0.651
234,1146.1,418.88,1163.72,446.98,0.637
235,1142.54,442.12,1160.49,471.0,0.624
236,1138.99,465.37,1157.25,495.01,0.61
237,1135.43,488.61,1154.02,519.03,0.597
238,1131.87,511.86,1150.79,543.05,0.584
239,1107.56,506.9,1126.45,537.96,0.582
240,1083.26,501.94,1102.11,532.88,0.58
241,1058.96,496.98,1077.77,527.79,0.579
242,1034.65,492.02,1053.43,522.71,0.577
243,1010.35,487.06,1029.09,517.62,0.575
244,986.05,482.1,1004.75,512.54,0.574
245,961.74,477.14,980.42,507.45,0.572
246,937.44,472.18,956.08,502.37,0.571
247,913.14,467.22,931.74,497.28,0.569
248,888.83,462.26,907.4,492.19,0.567
249,864.53,457.3,883.06,487.11,0.566
250,840.23,452.34,858.72,482.02,0.564
251,815.92,447.38,834.38,476.94,0.563
252,791.62,442.42,810.04,471.85,0.561
253,767.32,437.46,785.7,466.77,0.559
254,743.01,432.51,761.36,461.68,0.558
255,718.71,427.55,737.02,456.59,0.556
256,694.41,422.59,712.68,451.51,0.554
257,670.1,417.63,688.34,446.42,0.553
258,645.8,412.67,664.0,441.34,0.551
259,621.5,407.71,639.67,436.25,0.55
260,597.19,402.75,615.33,431.17,0.548
261,572.89,397.79,590.99,426.08,0.546
262,548.59,392.83,566.65,420.99,0.545
263,524.28,387.87,542.31,415.91,0.543
264,499.98,382.91,517.97,410.82,0.542
265,475.68,377.95,493.63,405.74,0.54
266,451.37,372.99,469.29,400.65,0.538
267,427.07,368.03,444.95,395.57,0.537
268,402.77,363.07,420.61,390.48,0.535
269,378.46,358.11,396.27,385.4,0.533
270,354.16,353.15,371.93,380.31,0.532
271,329.86,348.19,347.59,375.22,0.53
272,305.55,343.23,323.25,370.14,0.529
273,281.25,338.27,298.92,365.05,0.527
274,256.95,333.31,274.58,359.97,0.525
275,264.85,338.49,282.28,365.12,0.526
276,272.75,343.66,289.98,370.26,0.526
277,280.64,348.84,297.69,375.41,0.527
278,288.54,354.01,305.39,380.56,0.527
279,296.44,359.19,313.1,385.71,0.528
280,304.34,364.37,320.8,390.86,0.529
281,312.24,369.54,328.5,396.01,0.529
282,320.14,374.72,336.21,401.16,0.53
283,328.04,379.89,343.91,406.31,0.53
284,335.94,385.07,351.62,411.46,0.531
285,343.84,390.24,359.32,416.6,0.531
286,351.74,395.42,367.03,421.75,0.532
287,359.64,400.59,374.73,426.9,0.532
