frame,x1,y1,x2,y2,conf
191,770.05,390.73,785.66,419.71,0.705
192,763.74,395.84,779.08,424.6,0.703
193,757.44,400.96,772.51,429.49,0.702
194,751.14,406.07,765.94,434.38,0.7
195,744.84,411.19,759.37,439.27,0.699
196,738.54,416.3,752.79,444.16,0.697
197,732.24,421.42,746.22,449.05,0.696
198,725.94,426.53,739.65,453.94,0.694
199,719.64,431.64,733.08,458.83,0.693
200,713.34,436.76,726.5,463.73,0.691
201,707.04,441.87,719.93,468.62,0.69
202,700.74,446.99,713.36,473.51,0.688
203,694.43,452.1,706.78,478.4,0.687
204,688.13,457.21,700.21,483.29,0.685
205,681.83,462.33,693.64,488.18,0.684
206,675.53,467.44,687.07,493.07,0.682
207,692.53,467.28,704.76,493.5,0.701
208,709.52,467.13,722.46,493.93,0.72
209,726.51,466.97,740.15,494.36,0.739
210,743.51,466.81,757.85,494.79,0.757
211,760.5,466.65,775.55,495.22,0.776
212,777.49,466.49,793.24,495.65,0.795
213,794.49,466.33,810.94,496.08,0.813
214,811.48,466.18,828.63,496.51,0.832
215,828.47,466.02,846.33,496.94,0.851
216,845.47,465.86,864.03,497.36,0.87
217,846.87,423.31,863.64,450.67,0.751
218,847.49,407.94,866.74,439.37,0.673
219,848.1,392.58,869.84,428.07,0.595
220,909.51,377.57,930.68,411.04,0.589
221,970.91,362.57,991.51,394.01,0.583
222,1032.31,347.56,1052.35,376.98,0.577
223,1093.71,332.56,1113.19,359.95,0.571
224,1120.76,327.86,1136.2,349.03,0.615
225,1117.04,325.48,1132.75,348.54,0.617
226,1113.32,323.1,1129.31,348.05,0.619
227,1109.6,320.72,1125.87,347.56,0.621
228,1118.33,331.05,1134.73,357.84,0.63
229,1127.05,341.39,1143.59,368.11,0.638
230,1135.77,351.72,1152.46,378.39,0.647
231,1144.5,362.05,1161.32,388.67,0.655
232,1153.22,372.39,1170.18,398.94,0.664
233,1149.66,395.63,1166.95,422.96,0.651
234,1146.1,418.88,1163.72,446.98,0.637
235,1142.54,442.12,1160.49,471.0,0.624
236,1138.99,465.37,1157.25,495.01,0.61
237,1135.43,488.61,1154.02,519.03,0.597
238,1131.87,511.86,1150.79,543.05,0.584
239,1135.04,484.17,1154.59,513.58,0.606
240,1138.21,456.49,1158.39,484.11,0.628
241,1103.57,421.41,1123.29,448.96,0.609
242,1068.92,386.32,1088.2,413.81,0.589
243,1034.28,351.24,1053.1,378.66,0.57
244,995.03,319.72,1011.73,344.7,0.675
245,953.19,330.73,969.43,355.11,0.661
246,911.36,341.74,927.14,365.51,0.647
247,869.52,352.75,884.85,375.91,0.633
248,827.68,363.76,842.55,386.31,0.619
249,785.85,374.77,800.26,396.72,0.605
250,769.57,342.5,783.55,363.65,0.659
251,753.29,310.22,766.85,330.59,0.714
252,725.84,306.67,741.12,328.83,0.636
253,698.4,303.11,715.4,327.08,0.559
254,695.01,271.85,707.59,298.47,0.594
255,654.39,283.1,667.31,308.64,0.576
256,613.78,294.35,627.03,318.81,0.559
257,573.16,305.6,586.75,328.98,0.541
258,532.54,316.84,546.47,339.15,0.523
259,491.92,328.09,506.19,349.32,0.506
260,446.12,325.69,459.36,346.61,0.528
261,400.32,323.28,412.52,343.9,0.549
262,386.01,334.2,398.76,355.4,0.555
263,371.71,345.12,384.99,366.9,0.561
264,357.4,356.04,371.22,378.41,0.567
265,343.09,366.95,357.45,389.91,0.572
266,328.78,377.87,343.68,401.41,0.578
267,314.48,388.79,329.92,412.92,0.584
268,300.17,399.71,316.15,424.42,0.589
269,291.66,375.99,307.27,400.49,0.6
270,283.15,352.27,298.4,376.56,0.61
271,274.65,328.55,289.53,352.63,0.62
272,266.14,304.83,280.65,328.7,0.63
273,257.63,281.11,271.78,304.77,0.64
